camels_group,target,model,NSE,KGE,RMSE,PBIAS
huc01,01022500,local_lstm,0.781 +/- 0.010,0.704 +/- 0.011,322.169 +/- 7.073,-10.259 +/- 0.362
huc01,01022500,source_only,0.563 +/- 0.016,0.758 +/- 0.041,455.201 +/- 8.557,4.734 +/- 11.375
huc01,01022500,finetune_lstm,0.843 +/- 0.008,0.786 +/- 0.014,272.994 +/- 7.077,-7.707 +/- 0.525
huc01,01022500,regional_lstm,0.852 +/- 0.002,0.868 +/- 0.018,264.612 +/- 2.229,-2.308 +/- 0.685
huc01,01022500,daf_shared_v,0.847 +/- 0.006,0.831 +/- 0.040,269.313 +/- 5.341,-3.648 +/- 3.780
huc01,01022500,daf,0.849 +/- 0.002,0.834 +/- 0.041,267.407 +/- 2.148,-1.931 +/- 4.809
huc01,01144000,local_lstm,0.531 +/- 0.014,0.547 +/- 0.021,1234.341 +/- 18.260,-11.788 +/- 1.858
huc01,01144000,source_only,0.460 +/- 0.015,0.685 +/- 0.007,1324.303 +/- 18.135,-0.163 +/- 0.917
huc01,01144000,finetune_lstm,0.603 +/- 0.004,0.632 +/- 0.005,1135.396 +/- 5.374,-9.984 +/- 0.659
huc01,01144000,regional_lstm,0.634 +/- 0.006,0.713 +/- 0.013,1090.875 +/- 9.611,-4.777 +/- 0.236
huc01,01144000,daf_shared_v,0.637 +/- 0.014,0.696 +/- 0.050,1085.738 +/- 20.450,-7.293 +/- 4.467
huc01,01144000,daf,0.641 +/- 0.009,0.691 +/- 0.020,1080.437 +/- 13.254,-7.963 +/- 0.881
huc01,01169000,local_lstm,0.259 +/- 0.020,0.244 +/- 0.038,342.455 +/- 4.521,-22.847 +/- 4.294
huc01,01169000,source_only,0.102 +/- 0.035,0.423 +/- 0.021,377.064 +/- 7.349,6.154 +/- 16.605
huc01,01169000,finetune_lstm,0.336 +/- 0.010,0.346 +/- 0.011,324.293 +/- 2.429,-18.899 +/- 0.916
huc01,01169000,regional_lstm,0.373 +/- 0.007,0.432 +/- 0.024,315.130 +/- 1.850,-11.916 +/- 1.527
huc01,01169000,daf_shared_v,0.382 +/- 0.005,0.442 +/- 0.015,312.781 +/- 1.365,-11.666 +/- 1.749
huc01,01169000,daf,0.372 +/- 0.012,0.405 +/- 0.048,315.404 +/- 3.005,-16.993 +/- 5.102
huc03,02143040,local_lstm,0.252 +/- 0.006,0.223 +/- 0.006,67.269 +/- 0.280,-17.074 +/- 0.599
huc03,02143040,source_only,-0.121 +/- 0.283,0.132 +/- 0.085,81.912 +/- 10.216,49.891 +/- 25.232
huc03,02143040,finetune_lstm,0.272 +/- 0.004,0.255 +/- 0.006,66.338 +/- 0.193,-14.725 +/- 0.492
huc03,02143040,regional_lstm,0.271 +/- 0.002,0.292 +/- 0.007,66.405 +/- 0.108,-13.086 +/- 0.585
huc03,02143040,daf_shared_v,0.251 +/- 0.013,0.222 +/- 0.030,67.285 +/- 0.589,-18.503 +/- 2.813
huc03,02143040,daf,0.272 +/- 0.010,0.283 +/- 0.032,66.369 +/- 0.446,-11.454 +/- 3.587
huc03,02198100,local_lstm,0.354 +/- 0.051,0.335 +/- 0.059,35.435 +/- 1.418,-13.940 +/- 1.635
huc03,02198100,source_only,-0.452 +/- 0.358,-0.951 +/- 0.014,52.904 +/- 6.368,184.689 +/- 6.157
huc03,02198100,finetune_lstm,0.521 +/- 0.020,0.627 +/- 0.011,30.526 +/- 0.629,-5.507 +/- 1.150
huc03,02198100,regional_lstm,0.440 +/- 0.014,0.526 +/- 0.009,33.028 +/- 0.402,-6.253 +/- 1.867
huc03,02198100,daf_shared_v,0.567 +/- 0.031,0.691 +/- 0.027,29.012 +/- 1.056,0.667 +/- 2.601
huc03,02198100,daf,0.583 +/- 0.016,0.713 +/- 0.019,28.484 +/- 0.565,2.302 +/- 1.912
huc03,02469800,local_lstm,0.598 +/- 0.049,0.474 +/- 0.075,283.924 +/- 17.614,-21.534 +/- 6.325
huc03,02469800,source_only,0.220 +/- 0.080,0.572 +/- 0.052,395.637 +/- 20.465,8.026 +/- 5.663
huc03,02469800,finetune_lstm,0.656 +/- 0.016,0.556 +/- 0.032,262.924 +/- 6.066,-16.606 +/- 3.019
huc03,02469800,regional_lstm,0.657 +/- 0.013,0.715 +/- 0.034,262.642 +/- 4.984,-8.950 +/- 3.498
huc03,02469800,daf_shared_v,0.698 +/- 0.015,0.596 +/- 0.061,246.504 +/- 6.088,-18.894 +/- 5.152
huc03,02469800,daf,0.686 +/- 0.021,0.578 +/- 0.045,251.119 +/- 8.251,-20.361 +/- 2.505
